INSTNM,CITY,STABBR,CreditBaseline,YearlyEstimatedSavings,ANNUAL AVG,estimatedReturnRate
Grossmont-Cuyamaca Community College District,El Cajon,CA,0.4,16175.26,6120.0,0.168
Grossmont College,El Cajon,CA,0.4,16175.26,6120.0,0.168
Salon Success Academy-Riverside,Riverside,CA,0.4,16571.72,6270.0,0.173
Hartnell College,Salinas,CA,0.3,15197.35,5750.0,0.136
Harvey Mudd College,Claremont,CA,0.4,16016.68,6060.0,0.167
Hilltop Beauty School,Daly City,CA,0.4,13109.37,4960.0,0.137
Holy Names University,Oakland,CA,0.4,14668.75,5550.0,0.153
Pacifica Graduate Institute,Carpinteria,CA,0.4,15937.39,6030.0,0.166
California State Polytechnic University-Humboldt,Arcata,CA,0.3,11972.87,4530.0,0.107
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,0.3,15223.78,5760.0,0.136
Imperial Valley College,Imperial,CA,0.3,17866.8,6760.0,0.16
Institute for Business and Technology,Santa Clara,CA,0.3,15488.08,5860.0,0.138
Interior Designers Institute,Newport Beach,CA,0.4,15858.1,6000.0,0.165
International School of Cosmetology,Los Angeles,CA,0.4,16043.11,6070.0,0.167
Irvine Valley College,Irvine,CA,0.4,15884.53,6010.0,0.165
Bellus Academy-El Cajon,El Cajon,CA,0.4,16360.28,6190.0,0.17
American Jewish University,Los Angeles,CA,0.4,16280.99,6160.0,0.17
Reedley College,Reedley,CA,0.3,15646.66,5920.0,0.14
Life Pacific University,San Dimas,CA,0.4,15831.67,5990.0,0.165
University of La Verne,La Verne,CA,0.4,16016.68,6060.0,0.167
Laguna College of Art and Design,Laguna Beach,CA,0.4,15408.79,5830.0,0.161
Lake Tahoe Community College,South Lake Tahoe,CA,0.3,16280.99,6160.0,0.145
Lancaster Beauty School,Lancaster,CA,0.4,17919.66,6780.0,0.187
Laney College,Oakland,CA,0.4,14668.75,5550.0,0.153
Lassen Community College,Susanville,CA,0.4,15699.52,5940.0,0.164
Latin American Bible Institute,La Puente,CA,0.4,15752.38,5960.0,0.164
Life Chiropractic College West,Hayward,CA,0.4,14933.05,5650.0,0.156
Lincoln University,Oakland,CA,0.4,14536.59,5500.0,0.151
Southern California Seminary,El Cajon,CA,0.4,16360.28,6190.0,0.17
La Sierra University,Riverside,CA,0.4,16280.99,6160.0,0.17
Loma Linda University,Loma Linda,CA,0.4,16598.15,6280.0,0.173
Long Beach City College,Long Beach,CA,0.4,15699.52,5940.0,0.164
Southern California University of Health Sciences,Whittier,CA,0.4,15699.52,5940.0,0.164
Los Angeles Community College District Office,Los Angeles,CA,0.4,16016.68,6060.0,0.167
Los Angeles Harbor College,Wilmington,CA,0.4,15355.93,5810.0,0.16
Los Angeles Pierce College,Woodland Hills,CA,0.4,16333.85,6180.0,0.17
Los Angeles Southwest College,Los Angeles,CA,0.4,15831.67,5990.0,0.165
Los Angeles Trade Technical College,Los Angeles,CA,0.4,16016.68,6060.0,0.167
Los Angeles Valley College,Valley Glen,CA,0.4,16280.99,6160.0,0.17
The Master's University and Seminary,Santa Clarita,CA,0.4,16651.01,6300.0,0.173
Los Angeles City College,Los Angeles,CA,0.4,16016.68,6060.0,0.167
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,0.4,16016.68,6060.0,0.167
Los Angeles Mission College,Sylmar,CA,0.4,16439.57,6220.0,0.171
Los Medanos College,Pittsburg,CA,0.4,15091.63,5710.0,0.157
Los Rios Community College District Office,Sacramento,CA,0.3,15197.35,5750.0,0.136
Loyola Marymount University,Los Angeles,CA,0.4,15197.35,5750.0,0.158
Lu Ross Academy,Ventura,CA,0.4,15223.78,5760.0,0.159
Lyle's College of Beauty,Bakersfield,CA,0.4,15963.82,6040.0,0.166
Lyle's College of  Beauty,Fresno,CA,0.3,15540.94,5880.0,0.139
Lytles Redwood Empire Beauty College,Santa Rosa,CA,0.3,14827.33,5610.0,0.132
MTI College,Sacramento,CA,0.3,15012.34,5680.0,0.134
College of Marin,Kentfield,CA,0.4,14985.91,5670.0,0.156
Marymount California University,Rancho Palos Verdes,CA,0.4,15540.94,5880.0,0.162
Mendocino College,Ukiah,CA,0.3,15038.77,5690.0,0.134
Menlo College,Atherton,CA,0.4,15118.06,5720.0,0.157
Merced College,Merced,CA,0.3,15488.08,5860.0,0.138
Merritt College,Oakland,CA,0.4,14853.76,5620.0,0.155
Mills College at Northeastern University,Oakland,CA,0.4,14853.76,5620.0,0.155
